RVIS,ensemblId:ID,TSS:int,strand,HGNCSymbol,entrezId,pLi
72.94232649,ENSG00000169885,1846266,1,CALML6,163688,0.000127436926421093
55.21994135,ENSG00000178821,1850712,-1,TMEM52,339456,0.328693114330909
NA,ENSG00000142609,1935276,-1,C1orf222,85452,NA
27.06744868,ENSG00000187730,1950780,1,GABRD,2563,0.923498878454823
28.40664712,ENSG00000067606,1981909,1,PRKCZ,5590,0.266923656763182
NA,ENSG00000162585,2144159,-1,C1orf86,199990,0.785170903024389
11.7888563,ENSG00000157933,2160134,1,SKI,6497,0.981402099833324
94.37927664,ENSG00000116151,2323146,-1,MORN1,79906,7.87931445985798e-07
38.16226784,ENSG00000157916,2323267,1,RER1,11079,0.969239732851388
84.61388074,ENSG00000157911,2345236,-1,PEX10,5192,0.010463632475946
79.74584555,ENSG00000149527,2357419,1,PLCH2,9651,1.70518647543863e-08
10.78201369,ENSG00000157881,2458039,-1,PANK4,55229,0.945333401831958
NA,ENSG00000197921,2461684,-1,HES5,388585,0.532717161921776
52.48289345,ENSG00000157873,2487078,1,TNFRSF14,8764,0.819999054408814
38.63147605,ENSG00000157870,2517930,1,FAM213B,127281,0.000166699570192146
76.9599218,ENSG00000142606,2564481,-1,MMEL1,79258,8.87673673427084e-13
NA,ENSG00000215912,2718286,-1,TTC34,100287898,NA
51.58357771,ENSG00000169717,2938046,1,ACTRT2,140625,0.0187224605335923
NA,ENSG00000177133,2985001,-1,LINC00982,440556,NA
48.05474096,ENSG00000142611,2985732,1,PRDM16,63976,0.999843194473124
82.31671554,ENSG00000130762,3370990,1,ARHGEF16,27237,9.36505312388017e-08
99.74584555,ENSG00000162591,3528059,-1,MEGF6,1953,4.42421031130217e-15
NA,ENSG00000207776,3477354,-1,MIR551A,693135,NA
46.49071359,ENSG00000158109,3541566,1,TPRG1L,127262,0.00284528475212618
59.65786901,ENSG00000116213,3569325,-1,WRAP73,49856,0.0269219902261615
13.50928641,ENSG00000078900,3569084,1,TP73,7161,0.975977778366269
NA,ENSG00000227372,3663900,-1,TP73-AS1,57212,NA
96.285435,ENSG00000162592,3668962,1,CCDC27,148870,1.60569656764963e-19
NA,ENSG00000235169,3689352,1,SMIM1,388588,NA
51.1827957,ENSG00000130764,3713068,-1,LRRC47,57470,0.60383218752352
NA,ENSG00000266075,3699379,1,RN7SL574P,NA,NA
93.30400782,ENSG00000116198,3773778,-1,CEP104,9731,2.63081806867216e-08
58.91495601,ENSG00000169598,3773845,1,DFFB,1677,5.08618071063922e-05
80.66471163,ENSG00000198912,3816857,-1,C1orf174,339448,0.0187425021060312
NA,ENSG00000236423,3816936,1,LINC01134,100133612,NA
74.86803519,ENSG00000196581,4714792,1,AJAP1,55966,0.977592766896285
NA,ENSG00000264341,5624131,1,MIR4417,100616489,NA
NA,ENSG00000264101,5922801,-1,MIR4689,100616421,NA
99.68719453,ENSG00000131697,6052533,-1,NPHP4,261734,1.29374352876183e-17
27.03812317,ENSG00000069424,6051526,1,KCNAB2,8514,0.839972632374732
3.655913978,ENSG00000116254,6240183,-1,CHD5,101928723,0.999999995117076
42.54154448,ENSG00000116251,6269449,-1,RPL22,6146,0.348492156430072
92.98142717,ENSG00000158286,6265535,1,RNF207,388591,5.19011202351337e-06
47.46823069,ENSG00000116237,6296032,-1,ICMT,23463,0.95914542813838
NA,ENSG00000225077,6296300,1,LINC00337,148645,NA
NA,ENSG00000173673,6304252,1,HES3,390992,0.268868568223653
70.32258065,ENSG00000158292,6321035,-1,GPR153,387509,0.000377954117161823
11.95503421,ENSG00000097021,6454451,-1,ACOT7,11332,0.381517901841213
NA,ENSG00000069812,6484730,-1,HES2,54626,0.0670466550651167
71.69110459,ENSG00000187017,6484848,1,ESPN,83715,0.00255384128821556
NA,ENSG00000265392,6489956,-1,MIR4252,100422975,NA
68.22091887,ENSG00000215788,6526255,-1,TNFRSF25,8718,0.448738853101197
93.92961877,ENSG00000171680,6580121,-1,PLEKHG5,57449,4.02821229083025e-05
39.1886608,ENSG00000162408,6614595,-1,NOL9,79707,0.0044702400177699
NA,ENSG00000253022,6600914,1,RNU6-731P,NA,NA
96.37341153,ENSG00000173662,6615241,1,TAS1R1,80835,7.9136002871651e-09
10.08797654,ENSG00000204859,6640061,1,ZBTB48,3104,0.680198376469515
43.5483871,ENSG00000162413,6674667,-1,KLHL21,9903,0.00107735176759231
27.81036168,ENSG00000116273,6673745,1,PHF13,148479,0.931111283002542
69.60899316,ENSG00000041988,6684926,1,THAP3,90326,0.00148422474585026
26.63734115,ENSG00000007923,6761984,-1,DNAJC11,55735,0.999970790294974
7.096774194,ENSG00000171735,6845384,1,CAMTA1,23261,0.999999955418418
NA,ENSG00000207056,7279420,1,RNU1-8P,NA,NA
NA,ENSG00000237402,7429003,1,CAMTA1-IT1,NA,NA
37.48778104,ENSG00000049245,7831329,1,VAMP3,9341,0.0542630674689049
80.0684262,ENSG00000049246,7844380,1,PER3,8863,2.19067741322434e-10
80.27370479,ENSG00000049247,7913572,-1,UTS2,10911,0.151041459001058
67.28250244,ENSG00000049249,8000926,-1,TNFRSF9,3604,0.253050500972917
54.68230694,ENSG00000116288,8014351,1,PARK7,11315,0.903949397411231
26.5884653,ENSG00000116285,8086368,-1,ERRFI1,54206,0.046551582399882
NA,ENSG00000200975,8266657,-1,RNU1-7P,NA,NA
NA,ENSG00000265414,8335438,-1,RN7SL729P,NA,NA
NA,ENSG00000251977,8352323,-1,RNU6-991P,NA,NA
27.3313783,ENSG00000162426,8377886,1,SLC45A1,50651,0.0451892558909179
1.417399804,ENSG00000142599,8877702,-1,RERE,473,0.999995655258253
NA,ENSG00000234619,8810489,1,RPL7P11,NA,NA
NA,ENSG00000224315,8846972,-1,RPL7P7,NA,NA
23.67546432,ENSG00000074800,8939308,-1,ENO1,2023,0.0103734127326719
NA,ENSG00000236269,8938066,-1,ENO1-IT1,NA,NA
NA,ENSG00000230679,8938894,1,ENO1-AS1,100505975,NA
NA,ENSG00000201725,8943592,-1,RNU6-304P,NA,NA
NA,ENSG00000238249,8953468,1,HMGN2P17,NA,NA
65.98240469,ENSG00000131686,9005926,1,CA6,765,0.00802362076493995
NA,ENSG00000265141,9039933,-1,RN7SL451P,NA,NA
89.22776149,ENSG00000197241,9086404,-1,SLC2A7,155184,2.99498303352468e-17
55.52297165,ENSG00000142583,9148537,-1,SLC2A5,6518,5.67732629021242e-05
63.51906158,ENSG00000180758,9189229,-1,GPR157,80045,2.63491769393547e-05
NA,ENSG00000207865,9211836,-1,MIR34A,407040,NA
98.35777126,ENSG00000049239,9294834,1,H6PD,9563,0.000111404418020294
25.22971652,ENSG00000171621,9352939,1,SPSB1,80176,0.709596082305861
NA,ENSG00000252956,9497837,-1,RNA5SP40,NA,NA
47.78103617,ENSG00000171612,9599541,1,SLC25A33,84275,0.451158319130907
32.12121212,ENSG00000188807,9648932,1,TMEM201,199953,0.841903867149445
8.699902248,ENSG00000171608,9711790,1,PIK3CD,5293,0.999984294919708
NA,ENSG00000179840,9714644,-1,C1orf200,NA,0.0549230054401102
23.12805474,ENSG00000171603,9884584,-1,CLSTN1,22883,0.844214450133216
58.22091887,ENSG00000178585,9970394,-1,CTNNBIP1,56998,0.0229867402741806
39.66764418,ENSG00000162441,10003465,-1,LZIC,84328,0.00197924734359642
60.77223851,ENSG00000173614,10003486,1,NMNAT1,64802,0.22529193858776
NA,ENSG00000202415,10007376,1,RN7SKP269,NA,NA
NA,ENSG00000265521,10027439,1,MIR5697,100847055,NA
61.89638319,ENSG00000162444,10057264,1,RBP7,116362,0.408810205691644
7.086999022,ENSG00000130939,10092890,1,UBE4B,10277,0.999987413556799
NA,ENSG00000233623,10118729,1,PGAM1P11,NA,NA
NA,ENSG00000201746,10223326,1,RNU6-828P,NA,NA
0.91886608,ENSG00000054523,10270863,1,KIF1B,23095,0.999999999958917
NA,ENSG00000264881,10287776,1,MIR1273D,100422970,NA
NA,ENSG00000199562,10359024,1,RNU6-37P,NA,NA
NA,ENSG00000264501,10366523,1,RN7SL731P,NA,NA
NA,ENSG00000265945,10450059,1,RN7SL721P,NA,NA
34.65298143,ENSG00000142657,10458649,1,PGD,5226,0.968660462332331
NA,ENSG00000175279,10490159,1,APITD1,100526739,0.00852090111528864
40.70381232,ENSG00000251503,10490159,1,APITD1-CORT,100526739,0.00852090111528864
51.30987292,ENSG00000241563,10509776,1,CORT,1325,0.0098377909618654
63.42130987,ENSG00000160049,10532583,-1,DFFA,1676,0.00021837065189826
70.34213099,ENSG00000142655,10532345,1,PEX14,5195,0.634568377657546
NA,ENSG00000243267,10676893,1,RN7SL614P,NA,NA
18.53372434,ENSG00000130940,10856707,-1,CASZ1,54897,0.999938476327784
NA,ENSG00000225158,10955818,1,HSPE1P24,NA,NA
88.67057674,ENSG00000175262,11042094,-1,C1orf127,148345,1.33454849505904e-05
NA,ENSG00000215785,11051854,-1,CFL1P6,NA,NA
21.03616813,ENSG00000120948,11072414,1,TARDBP,23435,0.980707836590808
89.55034213,ENSG00000009724,11107290,-1,MASP2,10747,1.58468707892368e-14
48.0742913,ENSG00000116649,11120081,-1,SRM,6723,0.869848472217591
38.29912023,ENSG00000171824,11159938,-1,EXOSC10,5394,1.65795367368417e-07
0.215053763,ENSG00000198793,11322564,-1,MTOR,2475,0.999999999999676
NA,ENSG00000225602,11203955,1,MTOR-AS1,100873935,NA
NA,ENSG00000253086,11212407,1,RNU6-537P,NA,NA
59.13000978,ENSG00000171819,11249398,1,ANGPTL7,10218,8.44492793664119e-09
NA,ENSG00000207451,11286311,1,RNU6-291P,NA,NA
NA,ENSG00000238173,11293020,1,RPL39P6,NA,NA
29.1886608,ENSG00000120942,11333263,1,UBIAD1,29914,0.568905634331064
NA,ENSG00000238199,11339408,-1,UBE2V2P3,NA,NA
NA,ENSG00000204624,11539223,1,PTCHD2,57540,4.16505137948208e-05
46.81329423,ENSG00000116661,11715842,-1,FBXO2,26232,0.273382985936642
82.83479961,ENSG00000132879,11714432,1,FBXO44,93611,3.59578966017025e-05
51.4173998,ENSG00000116663,11724181,1,FBXO6,26270,0.00048573148176465
39.86314761,ENSG00000116670,11751707,-1,MAD2L2,10459,0.202505866427509
79.27663734,ENSG00000162490,11751786,1,DRAXIN,374946,6.64368474068458e-10
71.29032258,ENSG00000177674,11796141,1,AGTRAP,57085,0.0416634032877011
NA,ENSG00000215910,11821844,1,C1orf167,NA,0.155526802173754
74.46725318,ENSG00000177000,11866977,-1,MTHFR,4524,2.45515809266206e-07
5.376344086,ENSG00000011021,11866207,1,CLCN6,1185,0.163974191293187
NA,ENSG00000242349,11901074,1,NPPA-AS1,100379251,NA
70.29325513,ENSG00000175206,11908402,-1,NPPA,4878,0.0169316348826086
75.98240469,ENSG00000120937,11918988,-1,NPPB,4879,0.00038006045771278
NA,ENSG00000199347,11968209,1,RNU5E-1,26829,NA
NA,ENSG00000201801,11969984,-1,RNU5E-4P,NA,NA
31.33919844,ENSG00000116685,11986485,-1,KIAA2013,101930060,NA
51.95503421,ENSG00000083444,11994262,1,PLOD1,5351,2.70207303676794e-07
8.269794721,ENSG00000116688,12040238,1,MFN2,9927,0.999816094005639
89.36461388,ENSG00000116691,12079523,1,MIIP,60672,1.96191775619765e-15
NA,ENSG00000243539,12097071,-1,RN7SL649P,NA,NA
56.98924731,ENSG00000120949,12123434,1,TNFRSF8,943,0.845965386736897
NA,ENSG00000201135,12138041,-1,RNU6-777P,NA,NA
72.6686217,ENSG00000028137,12227060,1,TNFRSF1B,7133,0.778880984183769
NA,ENSG00000263676,12251770,1,MIR4632,100616438,NA
0.107526882,ENSG00000048707,12290124,1,VPS13D,55187,0.999992132395372
NA,ENSG00000239149,12567300,1,SNORA59A,677885,NA
73.87096774,ENSG00000162496,12677737,-1,DHRS3,9249,0.661359704005279
NA,ENSG00000221340,12630100,-1,RNU6ATAC18P,NA,NA
65.32746823,ENSG00000204518,12704566,1,AADACL4,343066,0.000547686324044419
76.29521017,ENSG00000188984,12776118,1,AADACL3,126767,0.00015633351437561
84.42815249,ENSG00000157330,12806163,1,C1orf158,93190,1.57145922132303e-08
67.10654936,ENSG00000116726,12834984,1,PRAMEF12,390999,3.89692512946575e-06
89.38416422,ENSG00000116721,12851546,1,PRAMEF1,65121,0.0981051636001553
80.92864125,ENSG00000204513,12891264,-1,PRAMEF11,440560,0.285437974687136
75.39589443,ENSG00000179172,12908578,-1,HNRNPCL1,101060301,0.0107232661654143
96.43206256,ENSG00000120952,12916941,1,PRAMEF2,65122,0.000567609686510291
98.22091887,ENSG00000243073,12946025,-1,PRAMEF4,400735,0.0746095246056682
NA,ENSG00000187545,12958101,-1,PRAMEF10,343071,0.875594718751663
NA,ENSG00000204510,12976450,1,PRAMEF7,441871,0.17686296313217
NA,ENSG00000207434,12982374,1,RNU6-1072P,NA,NA
NA,ENSG00000232423,13117751,-1,PRAMEF6,101929983,0.691325858232332
NA,ENSG00000204508,13035543,1,PRAMEF22,653606,0.617146896404532
NA,ENSG00000270601,13112679,-1,PRAMEF23,NA,NA
NA,ENSG00000204505,13140456,1,PRAMEF25,NA,NA
NA,ENSG00000179412,13184326,-1,HNRNPCP5,NA,NA
NA,ENSG00000229571,13219581,-1,PRAMEF26,645359,NA
NA,ENSG00000204503,13331692,-1,PRAMEF3,401940,NA
NA,ENSG00000204502,13359819,1,PRAMEF5,645359,NA
NA,ENSG00000207511,13384841,-1,RNU6-771P,NA,NA
NA,ENSG00000182330,13390765,-1,PRAMEF8,391002,NA
NA,ENSG00000204501,13421176,1,PRAMEF9,101929983,NA
NA,ENSG00000204495,13452656,-1,PRAMEF13,400736,0.529422081197501
NA,ENSG00000204491,13477522,-1,PRAMEF18,391003,NA
NA,ENSG00000204488,13495254,1,PRAMEF16,654348,NA
NA,ENSG00000204486,13516066,1,PRAMEF21,645425,NA
NA,ENSG00000157358,13641973,1,PRAMEF15,101929983,NA
NA,ENSG00000204481,13673511,-1,PRAMEF14,NA,0.55964161278638
NA,ENSG00000204480,13698405,-1,PRAMEF19,645414,0.583094142263464
NA,ENSG00000204479,13716092,1,PRAMEF17,391004,0.790929575854879
NA,ENSG00000204478,13736907,1,PRAMEF20,645425,NA
NA,ENSG00000162494,13840543,-1,LRRC38,126755,NA
61.81818182,ENSG00000162493,13909960,1,PDPN,10630,0.000983708235301868
NA,ENSG00000222952,13949779,-1,RNA5SP41,NA,NA
59.85337243,ENSG00000116731,14026693,1,PRDM2,7799,0.995040619056877
NA,ENSG00000252151,14450830,-1,RNU6-1265P,NA,NA
62.25806452,ENSG00000189337,14925200,1,KAZN,23254,0.144589791042949
NA,ENSG00000235829,15019109,-1,TBCAP2,NA,NA
NA,ENSG00000175147,15478960,-1,TMEM51-AS1,200197,NA
62.86412512,ENSG00000171729,15479028,1,TMEM51,55092,0.870759443080077
NA,ENSG00000204464,15497813,-1,C1orf195,727684,NA
NA,ENSG00000142621,15573768,1,FHAD1,114827,NA
35.7086999,ENSG00000142634,15736391,1,EFHD2,79180,0.378995543892118
67.99608993,ENSG00000162438,15764935,1,CTRC,11330,5.21992306515278e-06
78.71945259,ENSG00000142615,15783223,1,CELA2A,63036,1.98449208206109e-06
40.66471163,ENSG00000215704,15792404,1,CELA2B,51032,0.000617208883252854
51.60312805,ENSG00000132906,15853029,-1,CASP9,842,0.00319395567190647
21.485826,ENSG00000116138,15853308,1,DNAJC16,23341,3.79285066744292e-05
62.86412512,ENSG00000116771,15911605,-1,AGMAT,79814,0.00367262488905154
NA,ENSG00000235084,15931077,1,CHCHD2P6,NA,NA
NA,ENSG00000252417,15934640,-1,RNU7-179P,NA,NA
28.42619746,ENSG00000197312,15943995,1,DDI2,84301,0.941088127387327
80.89931574,ENSG00000215695,15986364,1,RSC1A1,84301,1.4572097447573e-08
84.48680352,ENSG00000116786,16010827,1,PLEKHM2,23207,0.00506557458482561
72.14076246,ENSG00000162461,16062900,1,SLC25A34,284723,0.000948152762042176
93.52883675,ENSG00000162460,16068917,1,TMEM82,388595,1.22973402675374e-05
52.86412512,ENSG00000162458,16083102,1,FBLIM1,54751,0.000789060297699282
0.537634409,ENSG00000065526,16174359,1,SPEN,23013,0.999999999999963
16.92082111,ENSG00000116809,16302627,-1,ZBTB17,7709,0.998165364992239
NA,ENSG00000224966,16316366,1,TBC1D3P6,NA,NA
50.25415445,ENSG00000183888,16330731,1,C1orf64,149563,0.0105592094696203
52.971652,ENSG00000173641,16346089,-1,HSPB7,27129,0.013149236960213
82.82502444,ENSG00000186510,16345370,1,CLCNKA,1187,2.74927659103062e-14
81.9257087,ENSG00000184908,16370272,1,CLCNKB,1188,7.80835912699469e-12
91.51515152,ENSG00000185519,16400127,-1,FAM131C,348487,0.276924372627756
52.14076246,ENSG00000142627,16482582,-1,EPHA2,1969,0.738294173427745
57.13587488,ENSG00000142632,16539104,-1,ARHGEF19,128272,7.63919108459289e-09
NA,ENSG00000234166,16524349,1,ARHGEF19-AS1,NA,NA
NA,ENSG00000237276,16554522,-1,ANO7P1,101927507,NA
NA,ENSG00000204377,16556038,-1,C1orf134,NA,NA
71.61290323,ENSG00000132881,16563657,-1,RSG1,79363,1.08197156167219e-06
NA,ENSG00000233929,16567893,-1,MT1XP1,NA,NA
3.870967742,ENSG00000037637,16678949,-1,FBXO42,54455,0.975946026927229
51.82795699,ENSG00000055070,16679070,1,SZRD1,26099,0.719865991219815
88.9540567,ENSG00000187144,16763919,-1,SPATA21,374955,3.58477021907411e-06
52.95210166,ENSG00000157191,16767167,1,NECAP2,55707,6.86667313977443e-05
NA,ENSG00000080947,16825752,-1,CROCCP3,114819,NA
NA,ENSG00000206652,16840780,-1,RNU1-1,26871,NA
NA,ENSG00000268674,16865561,1,FAM231B,100133301,NA
NA,ENSG00000219481,16940057,-1,NBPF1,284565,NA
NA,ENSG00000215908,16971178,-1,CROCCP2,84809,NA
NA,ENSG00000186301,16972069,1,MST1P2,101930052,NA
NA,ENSG00000207513,16993443,-1,RNU1-3,26871,NA
NA,ENSG00000237847,16999498,1,FAM231A,101060384,NA
NA,ENSG00000236698,17012550,-1,EIF1AXP1,NA,NA
NA,ENSG00000268869,17046652,-1,ESPNP,284729,NA
NA,ENSG00000268991,17060956,-1,FAM231C,101060384,NA
99.78494624,ENSG00000058453,17066768,1,CROCC,9696,4.70612895871808e-20
NA,ENSG00000207389,17067011,1,RNU1-4,26871,NA
NA,ENSG00000227684,17076728,1,CROCCP4,NA,NA
NA,ENSG00000186715,17096732,-1,MST1L,NA,NA
NA,ENSG00000263811,17185516,-1,MIR3675,100500876,NA
NA,ENSG00000207005,17222475,1,RNU1-2,26871,NA
57.54643206,ENSG00000117122,17307330,-1,MFAP2,4237,0.000124328486872189
33.74389052,ENSG00000159363,17338423,-1,ATP13A2,23400,0.00120495054739301
56.37341153,ENSG00000117118,17380665,-1,SDHB,6390,0.0501027715702188
70.77223851,ENSG00000117115,17445948,-1,PADI2,11240,0.000124031218347057
87.05767351,ENSG00000142623,17531621,1,PADI1,29943,5.26823569922429e-11
98.83675464,ENSG00000142619,17575593,1,PADI3,51702,4.68791671509589e-10
NA,ENSG00000266634,17604384,1,MIR3972,100616188,NA
90.99706745,ENSG00000159339,17634690,1,PADI4,23569,1.30424837822011e-09
NA,ENSG00000256049,17698691,1,PADI6,NA,NA
17.15542522,ENSG00000179051,17766220,-1,RCC2,55920,0.787633127226415
32.67839687,ENSG00000074964,17866330,1,ARHGEF10L,55160,0.0383062935578488
63.0400782,ENSG00000117148,18081808,1,ACTL8,81569,0.077144245715306
49.00293255,ENSG00000117154,18434240,1,IGSF21,84966,0.547298802614659
89.61876833,ENSG00000179023,18807424,1,KLHDC7A,127707,2.58274593353359e-10
34.05669599,ENSG00000009709,18957500,1,PAX7,5081,0.629829299867052
92.89345064,ENSG00000179002,19186176,-1,TAS1R2,80834,6.17507053671979e-13
80.65493646,ENSG00000159423,19229275,-1,ALDH4A1,8659,0.000434043544234141
NA,ENSG00000265606,19209769,-1,MIR4695,100616120,NA
NA,ENSG00000221662,19223642,-1,MIR1290,100302276,NA
NA,ENSG00000169991,19283180,-1,IFFO2,126917,0.382583916452741
0.039100684,ENSG00000127481,19536770,-1,UBR4,23352,1
32.28739003,ENSG00000127463,19578046,-1,EMC1,23065,6.03747917977484e-14
52.27761486,ENSG00000053372,19578033,1,MRTO4,51154,0.869977920352301
NA,ENSG00000211454,19600688,-1,AKR7L,NA,0.00438244228415804
90.59628543,ENSG00000162482,19615744,-1,AKR7A3,22977,6.13891503863645e-10
92.68817204,ENSG00000053371,19638640,-1,AKR7A2,8574,3.55874178311221e-06
NA,ENSG00000200403,19631676,-1,RNU6-1099P,NA,NA
53.5483871,ENSG00000040487,19638820,1,PQLC2,54896,0.000146809008866195
NA,ENSG00000265192,19646554,-1,RN7SL85P,NA,NA
52.88367546,ENSG00000077549,19812066,-1,CAPZB,832,0.592160351133202
NA,ENSG00000240490,19750878,1,RN7SL277P,NA,NA
NA,ENSG00000201609,19837087,1,RNU4-28P,NA,NA
NA,ENSG00000270136,19923473,1,MINOS1-NBL1,100532736,0.0681079828537187
53.99804497,ENSG00000173436,19923477,1,MINOS1,440574,0.348880394858809
NA,ENSG00000226396,19934608,1,RPS14P3,644068,NA
52.90322581,ENSG00000158747,19967048,1,NBL1,100532736,0.108864872574092
32.48289345,ENSG00000158748,19991780,1,HTR6,3362,0.00106725360649504
95.57184751,ENSG00000162542,20126438,-1,TMCO4,255104,9.98392215947084e-13
92.38514174,ENSG00000178828,20141771,-1,RNF186,54546,0.0154783237731939
50.24437928,ENSG00000169914,20209006,1,OTUD3,23252,2.62536799027489e-05
68.20136852,ENSG00000188784,20250110,-1,PLA2G2E,30814,0.000343166465007747
NA,ENSG00000242688,20297462,1,RN7SL304P,NA,NA
58.82697947,ENSG00000188257,20306932,-1,PLA2G2A,5320,0.398124558137518
51.23167155,ENSG00000127472,20354672,1,PLA2G5,5322,0.000190274829493542
81.00684262,ENSG00000117215,20446050,-1,PLA2G2D,26279,0.000177682796600803
70.64516129,ENSG00000158786,20465819,1,PLA2G2F,64600,2.09867850599463e-06
NA,ENSG00000187980,20503917,-1,PLA2G2C,391013,0.000569562808573398
NA,ENSG00000225986,20512979,-1,UBXN10-AS1,101928017,NA
67.42913001,ENSG00000162543,20512578,1,UBXN10,127733,0.000293934797697053
NA,ENSG00000158816,20617412,1,VWA5B1,127731,NA
