chromosome	start	end	celltypes
chr1	13800000	13840000	CO, HC, NPC, TRO
chr1	13840000	13880000	AD, H1, IMR90, MES, MSC
chr1	142600000	142640000	AD, AO, BL, CO, H1, LI, LV, MES, MSC, OV, RV, SB
chr1	142640000	142680000	LG, SX
chr1	142680000	142720000	IMR90, PO
chr1	143120000	143160000	HC
chr1	143640000	143680000	H1, IMR90, MSC
chr1	143680000	143720000	GM12878, MES, NPC, TRO
chr1	143800000	143840000	AD, CO, HC, LG, LI, OV, SB, SX
chr1	143840000	143880000	AO, BL, LV, PA, PO, RV
chr1	145400000	145440000	AD
chr1	145680000	145720000	OV
chr1	145720000	145760000	CO, HC
chr1	145760000	145800000	AD
chr1	146120000	146160000	MSC
chr1	146200000	146240000	MES
chr1	146240000	146280000	AO, H1, IMR90, SB, SX, TRO
chr1	146280000	146320000	LI, NPC, PA, PO, RV
chr1	146320000	146360000	AD, BL, CO, GM12878, HC, LG, LV
chr1	146360000	146400000	OV
chr1	147880000	147920000	LV
chr1	147920000	147960000	AO, IMR90, PA
chr1	147960000	148000000	GM12878
chr1	148000000	148040000	CO
chr1	148080000	148120000	GM12878, PO, SX
chr1	148120000	148160000	BL, LG, MES
chr1	148160000	148200000	H1, LI, LV, MSC, NPC, OV, RV
chr1	148200000	148240000	TRO
chr1	148440000	148480000	AO, CO, H1, OV, PO
chr1	148480000	148520000	AD, GM12878, HC, IMR90, LI, LV, MSC, SB
chr1	148560000	148600000	PA, SX
chr1	148800000	148840000	OV, SB
chr1	148840000	148880000	CO, IMR90
chr1	149160000	149200000	LG
chr1	149200000	149240000	CO, PA
chr1	149240000	149280000	PO
chr1	149280000	149320000	IMR90
chr1	149600000	149640000	CO
chr1	149640000	149680000	AD, HC
chr1	149680000	149720000	H1, MES, MSC, PA
chr1	149720000	149760000	LG, LI, OV, PO, TRO
chr1	149760000	149800000	AO, BL, GM12878, IMR90, LV, NPC, RV, SB, SX
chr1	151200000	151240000	MES, NPC, TRO
chr1	151240000	151280000	GM12878, H1, IMR90, MSC
chr1	151280000	151320000	CO
chr1	151320000	151360000	AD, LG, LI
chr1	151360000	151400000	BL, HC
chr1	151400000	151440000	LV, PO, SX
chr1	151440000	151480000	OV, RV, SB
chr1	151840000	151880000	MES
chr1	151880000	151920000	H1
chr1	151920000	151960000	NPC
chr1	151960000	152000000	AO, CO, HC, LI, OV, TRO
chr1	152000000	152040000	AD, BL, IMR90, LV, MSC, PA, PO, RV, SB
chr1	152040000	152080000	GM12878, LG, SX
chr1	152560000	152600000	LV
chr1	153320000	153360000	LG
chr1	153360000	153400000	NPC, RV, SX, TRO
chr1	153400000	153440000	AO, LV, PO
chr1	153440000	153480000	GM12878, OV
chr1	153480000	153520000	BL, PA, SB
chr1	153520000	153560000	AD, CO, HC, IMR90
chr1	153560000	153600000	LI, MSC
chr1	153600000	153640000	H1, TRO
chr1	153640000	153680000	MES
chr1	154120000	154160000	MSC, RV
chr1	154160000	154200000	MES
chr1	154200000	154240000	IMR90
chr1	154240000	154280000	NPC, OV, TRO
chr1	154280000	154320000	GM12878, H1
chr1	155080000	155120000	LV
chr1	155120000	155160000	AO, CO, GM12878, HC, LG, LI, MSC, OV, PA, PO, RV, SB, SX
chr1	155160000	155200000	AD, BL, H1, IMR90, MES, NPC, TRO
chr1	15520000	15560000	SB
chr1	156320000	156360000	GM12878
chr1	156400000	156440000	SB, TRO
chr1	156520000	156560000	MES
chr1	156560000	156600000	H1, LI, MSC, NPC
chr1	156680000	156720000	GM12878
chr1	156720000	156760000	AD
chr1	156760000	156800000	AO, HC
chr1	156800000	156840000	BL, CO, PA
chr1	156840000	156880000	NPC
chr1	156880000	156920000	RV
chr1	156920000	156960000	LV, OV, SB, SX
chr1	156960000	157000000	IMR90, MSC, PO
chr1	157000000	157040000	LG
chr1	15720000	15760000	GM12878
chr1	15760000	15800000	LV, PO, SX
chr1	157920000	157960000	SX
chr1	15800000	15840000	AD, AO, BL, CO, HC, LG, LI, MSC, OV, PA, RV
chr1	158040000	158080000	GM12878
chr1	15840000	15880000	H1, IMR90
chr1	15880000	15920000	NPC, TRO
chr1	159120000	159160000	PO
chr1	159160000	159200000	AD, H1, HC, IMR90, LG, LI, MES, PA, SB, SX, TRO
chr1	15920000	15960000	MES
chr1	159200000	159240000	CO, GM12878, LV, MSC, NPC
chr1	159240000	159280000	RV
chr1	159720000	159760000	AO
chr1	159760000	159800000	BL
chr1	159880000	159920000	HC, SB
chr1	159920000	159960000	CO, GM12878
chr1	160000000	160040000	LG, PA, PO, RV
chr1	160040000	160080000	H1, LI, LV, NPC, SX
chr1	160080000	160120000	MES, TRO
chr1	160320000	160360000	BL, LG, LV, OV, RV
chr1	160360000	160400000	AO, MSC
chr1	160400000	160440000	HC, PO
chr1	160440000	160480000	CO
chr1	160560000	160600000	NPC
chr1	161120000	161160000	IMR90
chr1	161160000	161200000	PO
chr1	161200000	161240000	MSC
chr1	161360000	161400000	AD, AO, BL, NPC, RV
chr1	161400000	161440000	GM12878, HC, LG, MES, OV
chr1	161440000	161480000	CO, H1, LI, LV, PA, PO, SB, TRO
chr1	161680000	161720000	LI
chr1	161800000	161840000	GM12878, SX
chr1	162520000	162560000	BL, CO, HC
chr1	162560000	162600000	IMR90, SB
chr1	162680000	162720000	H1
chr1	162720000	162760000	LG, LV, MES, PA, PO, RV, SX
chr1	162760000	162800000	LI, MSC, NPC, OV, TRO
chr1	162800000	162840000	AD, AO
chr1	162840000	162880000	GM12878
chr1	163240000	163280000	CO, H1, HC
chr1	163280000	163320000	AD, BL, LI, LV, MES, NPC, OV, PA, PO, RV, SB, TRO
chr1	163320000	163360000	AO, GM12878, LG, MSC
chr1	163360000	163400000	IMR90, SX
chr1	165080000	165120000	GM12878, LI
chr1	165120000	165160000	AD, NPC, PA, SX
chr1	165160000	165200000	BL, CO, IMR90, MSC, OV, SB, TRO
chr1	165200000	165240000	AO, H1, HC, LG, MES, PO
chr1	165240000	165280000	LV, RV
chr1	165840000	165880000	PO
chr1	165880000	165920000	LG
chr1	165960000	166000000	AO
chr1	166760000	166800000	HC, SB, SX
chr1	166800000	166840000	CO, LG, NPC, PA
chr1	166840000	166880000	BL, GM12878, IMR90, MSC
chr1	166880000	166920000	H1, MES, TRO
chr1	166920000	166960000	LI
chr1	166960000	167000000	PO
chr1	167000000	167040000	AO
chr1	167040000	167080000	LV, RV
chr1	167160000	167200000	AD
chr1	167560000	167600000	AO
chr1	16760000	16800000	NPC
chr1	167600000	167640000	BL, IMR90, LI, MSC
chr1	167640000	167680000	AD, LV, RV
chr1	167680000	167720000	OV
chr1	16800000	16840000	IMR90, LI
chr1	168000000	168040000	TRO
chr1	168040000	168080000	AD, AO, CO
chr1	168080000	168120000	HC, PA, RV
chr1	168120000	168160000	H1, LG, LV, MSC, PO, SB
chr1	168160000	168200000	LI, MES, NPC, SX
chr1	168200000	168240000	GM12878, IMR90
chr1	16840000	16880000	AO, BL, MES, PA, PO
chr1	16880000	16920000	H1, LG, LV, MSC, OV, RV, SB, SX, TRO
chr1	16920000	16960000	GM12878
chr1	169520000	169560000	TRO
chr1	169560000	169600000	BL
chr1	169680000	169720000	CO
chr1	169720000	169760000	MSC, OV
chr1	169760000	169800000	AD, AO, IMR90, LG, LV, NPC, RV, SB, TRO
chr1	169800000	169840000	H1, HC, MES, PA, PO
chr1	169840000	169880000	GM12878, LI
chr1	169880000	169920000	SX
chr1	171320000	171360000	GM12878, HC, PO
chr1	171360000	171400000	CO
chr1	171400000	171440000	AD, H1, LG, LI, OV, PA, SX
chr1	171440000	171480000	AO, BL, IMR90, LV, MES, MSC, NPC, RV, SB, TRO
chr1	17240000	17280000	MES, MSC
chr1	172480000	172520000	IMR90
chr1	172520000	172560000	H1, SX, TRO
chr1	172560000	172600000	AO, GM12878, LI, LV, MES, RV
chr1	172600000	172640000	BL, LG, MSC, OV, PA, PO
chr1	172640000	172680000	AD, CO, HC, NPC, SB
chr1	17280000	17320000	H1, LV, RV, TRO
chr1	17320000	17360000	BL, CO, HC, IMR90, LG, NPC, PA, SB, SX
chr1	173280000	173320000	CO, NPC
chr1	173320000	173360000	AO, H1, PO
chr1	173360000	173400000	AD, LI, SX
chr1	173400000	173440000	HC, PA
chr1	173440000	173480000	TRO
chr1	17360000	17400000	AD, AO, GM12878, LI, OV
chr1	173800000	173840000	HC
chr1	173840000	173880000	SB
chr1	173880000	173920000	CO
chr1	173920000	173960000	AO, LV
chr1	17400000	17440000	PO
chr1	174080000	174120000	LI
chr1	174120000	174160000	AO
chr1	174160000	174200000	GM12878, IMR90, LG, PA, RV
chr1	174200000	174240000	AD, BL, CO, H1, MES, MSC
chr1	174280000	174320000	TRO
chr1	174800000	174840000	PA
chr1	174960000	175000000	BL, CO, PO, TRO
chr1	175000000	175040000	AD, AO, H1, HC, IMR90, LG, LV, MES, MSC, NPC, OV, RV, SX
chr1	175040000	175080000	GM12878, LI
chr1	175080000	175120000	SB
chr1	175320000	175360000	GM12878
chr1	176320000	176360000	AO, PO
chr1	176360000	176400000	AD, LG, LI, PA, SB, TRO
chr1	176400000	176440000	BL, CO, RV
chr1	176440000	176480000	H1, HC, LV, NPC
chr1	176480000	176520000	GM12878, OV
chr1	176680000	176720000	MSC, PA, SX
chr1	176720000	176760000	CO, IMR90
chr1	176760000	176800000	GM12878
chr1	176800000	176840000	H1, LI, MES, NPC, TRO
chr1	17720000	17760000	NPC
chr1	17760000	17800000	GM12878
chr1	177960000	178000000	IMR90, LG, LV, RV, SB
chr1	178000000	178040000	AO, MSC, PO
chr1	178040000	178080000	MES, TRO
chr1	178080000	178120000	BL
chr1	178160000	178200000	GM12878
chr1	178200000	178240000	BL, MSC
chr1	178240000	178280000	LI, SX
chr1	178280000	178320000	NPC
chr1	178320000	178360000	LG, OV, PA, PO
chr1	178360000	178400000	AD, H1, MES, TRO
chr1	178400000	178440000	CO, HC
chr1	179120000	179160000	H1, MES
chr1	179440000	179480000	AD
chr1	179640000	179680000	LI, OV, TRO
chr1	179680000	179720000	AD, GM12878, MSC
chr1	179720000	179760000	BL, H1, LG, PA, SX
chr1	179760000	179800000	HC, IMR90, LV, NPC, PO, RV
chr1	179800000	179840000	AO, CO, MES
chr1	180080000	180120000	OV
chr1	180120000	180160000	AD, PO
chr1	180160000	180200000	LI, MES, NPC
chr1	180200000	180240000	GM12878
chr1	180320000	180360000	H1
chr1	180400000	180440000	LI, TRO
chr1	180440000	180480000	AD, MSC, SB
chr1	181120000	181160000	AD, BL, H1, MES, PA
chr1	181160000	181200000	AO, CO, GM12878, HC, LI, LV, OV, PO, SB, SX, TRO
chr1	181200000	181240000	IMR90, LG, MSC, RV
chr1	181280000	181320000	NPC
chr1	181920000	181960000	HC
chr1	181960000	182000000	CO
chr1	182000000	182040000	NPC, OV, PO
chr1	182040000	182080000	H1, LG, LI, MES, SB, SX, TRO
chr1	182080000	182120000	BL, GM12878, LV, PA, RV
chr1	182440000	182480000	GM12878
chr1	182800000	182840000	AD, AO, BL, GM12878, IMR90, LG, LI, LV, MSC, OV, PA, PO, RV, TRO
chr1	182840000	182880000	H1, MES, NPC, SB, SX
chr1	182880000	182920000	CO, HC
chr1	183240000	183280000	CO, HC, PA
chr1	183280000	183320000	OV, PO, SX
chr1	183320000	183360000	GM12878, LI
chr1	183440000	183480000	MSC
chr1	183480000	183520000	LI, NPC
chr1	183520000	183560000	MES, TRO
chr1	183560000	183600000	H1
chr1	183600000	183640000	SX
chr1	183880000	183920000	LG, PO
chr1	183920000	183960000	OV, SX
chr1	183960000	184000000	GM12878, HC, SB
chr1	184720000	184760000	AO, CO, HC, OV, SB, SX
chr1	184760000	184800000	H1, IMR90, LI, MES, MSC, PA, TRO
chr1	184800000	184840000	NPC
chr1	185040000	185080000	AO, LV, MES
chr1	185080000	185120000	BL, LG, LI, NPC, PA, RV, SB, TRO
chr1	185120000	185160000	AD, H1
chr1	185160000	185200000	GM12878, PO
chr1	185640000	185680000	AD, H1
chr1	185720000	185760000	LV, MES, NPC, RV
chr1	185760000	185800000	AO, GM12878, IMR90, LI, MSC, PO, TRO
chr1	185800000	185840000	SB
chr1	186280000	186320000	GM12878, OV, SB
chr1	186320000	186360000	AD, BL, CO, HC, IMR90, MES, MSC, NPC, RV, SX, TRO
chr1	186360000	186400000	AO, H1, LG, LI, LV, PA
chr1	186440000	186480000	PO
chr1	186920000	186960000	AD, AO, LG, LV, PO
chr1	186960000	187000000	CO, H1, MES, NPC, OV
chr1	187000000	187040000	BL, GM12878, HC, IMR90, LI, MSC, RV, SX, TRO
chr1	187040000	187080000	PA
chr1	187080000	187120000	SB
chr1	188640000	188680000	AD
chr1	188680000	188720000	OV
chr1	188760000	188800000	LI
chr1	188800000	188840000	LG, PA
chr1	189040000	189080000	LV, NPC, PA
chr1	189080000	189120000	AO, BL, CO, H1, MES, RV
chr1	189120000	189160000	HC, IMR90
chr1	189160000	189200000	GM12878, TRO
chr1	189200000	189240000	MSC, SX
chr1	189240000	189280000	PO
chr1	189400000	189440000	SB
chr1	189720000	189760000	LG
chr1	190200000	190240000	LG
chr1	190280000	190320000	PA
chr1	190320000	190360000	OV, PO
chr1	19040000	19080000	GM12878
chr1	190440000	190480000	BL, MSC, NPC
chr1	190480000	190520000	GM12878, H1, IMR90, LI, MES, TRO
chr1	190520000	190560000	AD, CO, HC, SX
chr1	190560000	190600000	AO
chr1	191080000	191120000	SB
chr1	19120000	19160000	SX
chr1	19160000	19200000	AO, BL, CO, HC, PO, SB
chr1	191920000	191960000	MES
chr1	191960000	192000000	H1
chr1	19200000	19240000	LG, LI, LV, MSC, PA, RV
chr1	192320000	192360000	GM12878
chr1	192360000	192400000	LV, RV
chr1	19240000	19280000	IMR90, OV
chr1	192400000	192440000	AD, AO, BL, LG, LI, MSC, OV, PA, PO, SX
chr1	192440000	192480000	CO, HC, IMR90, MES, NPC, TRO
chr1	192480000	192520000	H1
chr1	192600000	192640000	SB
chr1	19280000	19320000	AD
chr1	193000000	193040000	LV, OV, RV
chr1	193040000	193080000	AD, HC, IMR90, LG, NPC, PA, TRO
chr1	193080000	193120000	AO, BL, H1, LI, MES, MSC, PO, SX
chr1	193120000	193160000	GM12878
chr1	194320000	194360000	GM12878, MES, TRO
chr1	19440000	19480000	CO
chr1	194400000	194440000	H1, LI, LV, OV
chr1	194440000	194480000	NPC, RV, SX
chr1	194480000	194520000	IMR90
chr1	194560000	194600000	MSC
chr1	194880000	194920000	LG
chr1	194920000	194960000	AO, PA
chr1	195200000	195240000	SB
chr1	195240000	195280000	AO, LV, PO, RV
chr1	195400000	195440000	HC
chr1	195440000	195480000	SX
chr1	195480000	195520000	LG
chr1	19560000	19600000	H1, MES, NPC, TRO
chr1	195600000	195640000	PA
chr1	195800000	195840000	SB
chr1	195840000	195880000	H1, HC
chr1	195880000	195920000	MES
chr1	195920000	195960000	GM12878, LG, NPC, PA
chr1	195960000	196000000	AD, BL, CO, MSC
chr1	196040000	196080000	IMR90, LI
chr1	196120000	196160000	OV
chr1	196160000	196200000	TRO
chr1	196280000	196320000	HC
chr1	196680000	196720000	GM12878
chr1	196760000	196800000	AD, LG, LV, OV, TRO
chr1	196800000	196840000	NPC, RV, SB
chr1	196840000	196880000	AO
chr1	196880000	196920000	PA
chr1	196960000	197000000	CO, PO
chr1	197000000	197040000	BL, HC
chr1	197040000	197080000	SX
chr1	197120000	197160000	H1, MES
chr1	197280000	197320000	AD, NPC
chr1	197320000	197360000	LG, LI, MSC
chr1	197360000	197400000	GM12878, IMR90, SB
chr1	197920000	197960000	H1
chr1	198520000	198560000	OV
chr1	198560000	198600000	BL, LI, LV, PO, RV
chr1	198600000	198640000	AD, CO, HC, LG, PA, SB
chr1	198640000	198680000	AO, MSC
chr1	198680000	198720000	GM12878, H1, IMR90, MES, TRO
chr1	198720000	198760000	NPC, SX
chr1	199520000	199560000	MES
chr1	199560000	199600000	H1, IMR90, MSC, PA, SB, SX, TRO
chr1	199600000	199640000	LI, NPC
chr1	199640000	199680000	GM12878, HC, LG, LV
chr1	199680000	199720000	CO
chr1	200160000	200200000	GM12878
chr1	20040000	20080000	H1, MES
chr1	200520000	200560000	AO, GM12878, TRO
chr1	200560000	200600000	NPC
chr1	200600000	200640000	CO, IMR90, LG, MSC, PA, SX
chr1	20080000	20120000	AD, CO, GM12878, HC, IMR90, LI, MSC, NPC, OV, SB, TRO
chr1	201080000	201120000	PO
chr1	201160000	201200000	LG, SB
chr1	20120000	20160000	BL, LG, LV, PA, PO, RV
chr1	201200000	201240000	H1, LV, NPC, RV
chr1	201240000	201280000	BL, SX
chr1	201280000	201320000	GM12878, MES, TRO
chr1	201320000	201360000	AO, HC, LI, PA
chr1	201360000	201400000	AD, CO, IMR90, MSC
chr1	201400000	201440000	OV
chr1	20160000	20200000	AO, SX
chr1	201800000	201840000	SB
chr1	201880000	201920000	LI, PO
chr1	201920000	201960000	AD, BL, CO, HC, OV, PA, RV, SX
chr1	201960000	202000000	LG, LV
chr1	202000000	202040000	GM12878, IMR90, MSC, TRO
chr1	202080000	202120000	H1, MES, NPC
chr1	202920000	202960000	CO, HC, MES, NPC
chr1	202960000	203000000	AO, BL, H1, IMR90, LG, LI, LV, MSC, PO, SB, SX, TRO
chr1	203000000	203040000	AD, GM12878, OV, PA, RV
chr1	203680000	203720000	CO
chr1	203720000	203760000	HC, LV, TRO
chr1	203760000	203800000	AD, H1, MES, NPC, RV
chr1	203800000	203840000	BL, GM12878, IMR90, LI, MSC, SB, SX
chr1	203840000	203880000	AO, LG, PA, PO
chr1	204400000	204440000	GM12878
chr1	204440000	204480000	H1, MES, NPC, OV, TRO
chr1	204480000	204520000	AD, AO, BL, CO, HC, IMR90, LI, MSC, RV
chr1	204520000	204560000	LG, LV, PA, PO
chr1	204640000	204680000	SB
chr1	205160000	205200000	GM12878
chr1	205640000	205680000	LG, LV, MES
chr1	205680000	205720000	H1
chr1	205720000	205760000	GM12878, IMR90, OV, TRO
chr1	205760000	205800000	AD
chr1	205800000	205840000	AO, BL, CO, LI, MSC, NPC, RV, SB
chr1	205840000	205880000	PA, PO
chr1	205880000	205920000	HC, SX
chr1	206280000	206320000	AD
chr1	206440000	206480000	PO
chr1	206520000	206560000	BL, GM12878, NPC, PA, RV, SX
chr1	206560000	206600000	LG, LI, LV, SB, TRO
chr1	206600000	206640000	AO, CO, H1, IMR90, MES, OV
chr1	206640000	206680000	HC, MSC
chr1	207120000	207160000	NPC
chr1	207160000	207200000	IMR90, SX
chr1	207760000	207800000	MSC
chr1	207800000	207840000	IMR90
chr1	207880000	207920000	AO, LV, RV
chr1	207920000	207960000	LG, OV, SB
chr1	207960000	208000000	BL, NPC, PO
chr1	208000000	208040000	CO, H1, HC, MES, PA, TRO
chr1	208040000	208080000	AD
chr1	208080000	208120000	LI
chr1	208160000	208200000	GM12878
chr1	208200000	208240000	SX
chr1	20840000	20880000	PO
chr1	208400000	208440000	IMR90, PA
chr1	208440000	208480000	OV, PO, SB
chr1	208680000	208720000	SB
chr1	20880000	20920000	BL, GM12878, LI, LV, OV, SB, SX
chr1	20920000	20960000	AD, AO, CO, H1, HC, IMR90, LG, MSC, RV, TRO
chr1	20960000	21000000	MES, NPC, PA
chr1	209680000	209720000	OV, PO, SX
chr1	209760000	209800000	AO
chr1	209840000	209880000	HC
chr1	209880000	209920000	CO, IMR90
chr1	209920000	209960000	H1, MES, NPC
chr1	209960000	210000000	LG, MSC, TRO
chr1	210000000	210040000	AD, GM12878, PA, RV, SX
chr1	210040000	210080000	BL, LV, PO
chr1	210080000	210120000	LI
chr1	210120000	210160000	SB
chr1	210480000	210520000	H1
chr1	210520000	210560000	SX
chr1	210560000	210600000	OV, PA, SB
chr1	211480000	211520000	GM12878
chr1	211600000	211640000	MSC
chr1	211640000	211680000	IMR90, LG, RV, SB
chr1	211680000	211720000	AD, AO, BL, CO, LI, LV, PA, SX
chr1	211760000	211800000	H1, HC, MES, NPC, OV, PO, TRO
chr1	212640000	212680000	H1
chr1	213120000	213160000	OV
chr1	213160000	213200000	PA, TRO
chr1	213200000	213240000	AD, CO, H1, HC, LI, MES, NPC, PO, RV
chr1	213240000	213280000	AO, BL, IMR90, LG, LV, MSC, SB
chr1	213280000	213320000	SX
chr1	213360000	213400000	GM12878
chr1	214400000	214440000	IMR90, MSC
chr1	214440000	214480000	AD, AO, CO, GM12878, LG, OV
chr1	214480000	214520000	BL, H1, HC, LI, LV, MES, PO
chr1	214600000	214640000	SB
chr1	214720000	214760000	LV
chr1	214760000	214800000	BL, H1, NPC, PA, RV, TRO
chr1	214800000	214840000	AO, MES
chr1	214840000	214880000	LG, PO, SX
chr1	214880000	214920000	OV
chr1	21560000	21600000	NPC
chr1	215800000	215840000	IMR90, LI
chr1	215840000	215880000	AD, H1, MES, MSC, NPC
chr1	215880000	215920000	HC, LV, SX
chr1	215920000	215960000	LG, PO, RV, TRO
chr1	215960000	216000000	BL, CO, GM12878, PA
chr1	216000000	216040000	AO, OV
chr1	216320000	216360000	SB
chr1	216400000	216440000	AO
chr1	21680000	21720000	CO
