chr	start	end
chr1	82240000	83200000
chr1	83200000	84360000
chr1	84360000	84920000
chr1	84920000	85400000
chr1	85400000	85720000
chr1	85720000	86200000
chr1	86200000	86360000
chr1	86360000	86800000
chr1	86800000	87200000
chr1	87200000	87560000
chr1	87560000	89080000
chr1	89080000	89360000
chr1	89360000	89960000
chr1	89960000	90240000
chr1	90240000	90480000
chr1	90480000	91040000
chr1	91040000	91880000
chr1	91880000	92440000
chr1	92440000	92760000
chr1	92760000	93280000
chr1	93280000	93480000
chr1	93480000	94360000
chr1	94360000	94960000
chr1	94960000	95280000
chr1	95280000	95520000
chr1	95520000	96680000
chr1	96680000	97400000
chr1	97400000	98000000
chr1	98000000	98520000
chr1	98520000	99000000
chr1	99000000	99600000
chr1	99600000	100200000
chr1	100200000	100600000
chr1	100600000	100920000
chr1	100920000	101360000
chr1	101360000	101840000
chr1	101840000	104160000
chr1	104280000	105160000
chr1	105160000	106360000
chr1	106360000	107720000
chr1	107720000	108320000
chr1	108320000	108720000
chr1	108720000	109200000
chr1	109200000	109480000
chr1	109480000	109960000
chr1	109960000	110560000
chr1	110560000	111040000
chr1	111040000	111560000
chr1	111560000	112000000
chr1	112000000	112320000
chr1	112320000	112920000
chr1	112920000	113240000
chr1	113240000	113640000
chr1	113640000	114360000
chr1	114360000	114880000
chr1	114880000	115240000
chr1	115240000	115600000
chr1	115600000	116160000
chr1	116160000	116320000
chr1	116320000	116600000
chr1	116600000	117080000
chr1	117080000	117600000
chr1	117600000	118480000
chr1	118480000	120120000
chr1	120120000	120720000
chr1	120720000	121320000
chr1	142520000	143560000
chr1	143920000	144080000
chr1	144520000	145120000
chr1	145120000	145320000
chr1	145320000	145800000
chr1	146440000	147120000
chr1	147120000	147440000
chr1	147680000	147840000
chr1	148160000	149760000
chr1	149760000	150200000
chr1	150200000	151000000
chr1	151000000	151160000
chr1	151160000	151880000
chr1	151880000	152440000
chr1	152440000	152840000
chr1	152840000	153320000
chr1	153320000	153640000
chr1	153640000	153960000
chr1	153960000	155160000
chr1	155160000	155880000
chr1	155880000	156040000
chr1	156040000	156320000
chr1	156320000	156600000
chr1	156600000	156920000
chr1	156920000	157480000
chr1	157480000	158120000
chr1	158120000	159080000
chr1	159080000	160000000
chr1	160000000	160280000
chr1	160280000	160600000
chr1	160600000	160960000
chr1	160960000	161120000
chr1	161120000	161440000
chr1	161440000	161720000
chr1	161720000	162560000
chr1	162560000	162800000
chr1	162800000	163320000
chr1	163320000	165080000
chr1	165080000	165360000
chr1	165360000	165560000
chr1	165560000	166440000
chr1	166440000	166840000
chr1	166840000	167040000
chr1	167040000	167200000
chr1	167200000	167520000
chr1	167520000	168040000
chr1	168040000	169360000
chr1	169360000	169800000
chr1	169800000	170920000
chr1	170920000	171480000
chr1	171480000	172400000
chr1	172400000	173200000
chr1	173200000	174040000
chr1	174040000	174200000
chr1	174200000	174720000
chr1	174720000	175000000
chr1	175000000	176200000
chr1	176200000	176840000
chr1	176840000	177360000
chr1	177360000	177920000
chr1	177920000	178280000
chr1	178280000	178480000
chr1	178480000	179040000
chr1	179040000	179360000
chr1	179360000	179640000
chr1	179640000	179800000
chr1	179800000	180160000
chr1	180160000	180480000
chr1	180480000	180840000
chr1	180840000	181160000
chr1	181160000	181400000
chr1	181400000	182040000
chr1	182040000	182400000
chr1	182400000	182560000
chr1	182560000	182800000
chr1	182800000	183240000
chr1	183240000	183600000
chr1	183600000	183920000
chr1	183920000	184720000
chr1	184720000	184960000
chr1	184960000	185680000
chr1	185680000	186280000
chr1	186280000	187000000
chr1	187000000	187880000
chr1	187880000	189680000
chr1	189680000	190480000
chr1	190480000	191040000
chr1	191040000	192440000
chr1	192440000	193040000
chr1	193040000	195200000
chr1	195200000	195840000
chr1	195840000	196080000
chr1	196080000	196280000
chr1	196280000	196680000
chr1	196680000	197120000
chr1	197120000	197360000
chr1	197360000	197920000
chr1	197920000	198680000
chr1	198680000	199600000
chr1	199600000	200080000
chr1	200080000	200520000
chr1	200520000	200840000
chr1	200840000	201080000
chr1	201080000	201360000
chr1	201360000	201800000
chr1	201800000	202120000
chr1	202120000	202720000
chr1	202720000	203000000
chr1	203000000	203240000
chr1	203240000	203800000
chr1	203800000	204120000
chr1	204120000	204360000
chr1	204360000	205240000
chr1	205240000	205520000
chr1	205520000	205720000
chr1	205720000	205960000
chr1	206080000	206640000
chr1	206640000	207160000
chr1	207160000	207960000
chr1	207960000	208440000
chr1	208440000	209720000
chr1	209720000	209960000
chr1	209960000	210520000
chr1	210520000	211440000
chr1	211440000	211840000
chr1	211840000	212200000
chr1	212200000	212640000
chr1	212640000	212800000
chr1	212800000	212960000
chr1	212960000	213200000
chr1	213200000	214360000
chr1	214360000	214800000
chr1	214800000	215800000
chr1	215800000	216920000
chr1	216920000	218440000
chr1	218440000	219240000
chr1	219240000	220040000
chr1	220040000	220960000
chr1	220960000	221600000
chr1	221600000	222240000
chr1	222240000	222640000
chr1	222640000	222840000
chr1	222840000	223280000
chr1	223280000	223880000
chr1	223880000	224280000
chr1	224280000	224680000
chr1	224680000	225120000
chr1	225120000	225560000
chr1	225560000	226240000
chr1	226240000	226560000
chr1	226560000	227040000
chr1	227040000	227640000
chr1	227640000	227920000
chr1	227920000	228160000
chr1	228160000	228760000
chr1	228880000	229400000
chr1	229400000	229680000
chr1	229680000	230480000
chr1	230480000	230760000
chr1	230760000	231440000
chr1	231440000	231760000
chr1	231760000	232760000
chr1	232760000	233440000
chr1	233440000	234240000
chr1	234240000	234600000
chr1	234600000	235240000
chr1	235240000	235640000
chr1	235640000	236240000
chr1	236240000	236720000
chr1	236720000	237760000
chr1	237760000	239560000
chr1	239560000	240160000
chr1	240160000	240880000
chr1	240880000	241680000
chr1	241680000	242040000
chr1	242040000	243240000
chr1	243240000	243480000
chr1	243480000	244640000
chr1	244640000	245000000
chr1	245000000	245200000
chr1	245200000	246200000
chr1	246200000	246680000
chr1	246680000	247000000
chr1	247000000	247520000
chr1	247520000	249250621
chr2	0	680000
chr2	680000	1800000
chr2	1800000	3720000
chr2	3720000	6080000
chr2	6080000	7000000
chr2	7000000	7200000
chr2	7200000	8960000
chr2	8960000	9280000
chr2	9280000	9560000
chr2	9560000	9920000
chr2	9920000	10200000
chr2	10200000	10600000
chr2	10600000	10840000
chr2	10840000	11280000
chr2	11280000	11600000
chr2	11600000	11800000
chr2	11800000	13160000
chr2	13160000	14320000
chr2	14320000	14800000
chr2	14800000	15760000
chr2	15760000	16720000
chr2	16720000	17920000
chr2	17920000	18360000
chr2	18360000	18560000
chr2	18560000	19560000
chr2	19560000	20120000
chr2	20120000	20560000
chr2	20560000	20840000
chr2	20840000	21200000
chr2	21200000	24000000
chr2	24000000	25200000
chr2	25200000	25440000
chr2	25440000	25800000
chr2	25800000	26000000
chr2	26000000	26400000
chr2	26400000	27000000
chr2	27000000	27280000
chr2	27280000	27600000
chr2	27600000	27880000
chr2	27880000	28760000
chr2	28760000	29160000
chr2	29160000	29440000
chr2	29440000	30360000
chr2	30360000	30920000
chr2	30920000	31560000
chr2	31560000	32080000
chr2	32080000	32760000
chr2	32760000	33840000
chr2	33840000	34800000
chr2	34800000	35360000
chr2	35360000	35640000
chr2	35640000	36560000
chr2	36560000	37000000
chr2	37000000	37320000
chr2	37320000	38160000
chr2	38160000	38520000
chr2	38520000	38760000
chr2	38760000	39000000
chr2	39000000	39480000
chr2	39480000	40000000
chr2	40000000	40800000
chr2	40800000	41000000
chr2	41000000	42040000
chr2	42040000	42320000
chr2	42320000	42600000
chr2	42600000	43040000
chr2	43040000	43480000
chr2	43480000	43840000
chr2	43840000	44120000
chr2	44120000	44600000
chr2	44600000	45200000
chr2	45200000	45800000
chr2	45800000	46200000
chr2	46200000	46680000
chr2	46680000	46840000
chr2	46840000	47120000
chr2	47120000	47640000
chr2	47640000	48040000
chr2	48040000	48720000
chr2	48720000	49840000
chr2	49840000	50720000
chr2	50720000	54000000
chr2	54000000	54720000
chr2	54720000	54960000
chr2	54960000	55480000
chr2	55480000	55880000
chr2	55880000	56240000
chr2	56240000	57000000
chr2	57000000	57840000
chr2	57840000	58760000
chr2	58760000	59480000
chr2	59480000	60920000
chr2	60920000	61240000
chr2	61240000	61720000
chr2	61720000	62120000
chr2	62120000	62640000
chr2	62640000	63040000
chr2	63040000	63800000
chr2	63800000	64240000
chr2	64240000	64560000
chr2	64560000	64800000
chr2	64800000	65120000
chr2	65120000	65280000
chr2	65280000	65440000
chr2	65440000	65840000
chr2	65840000	66640000
chr2	66640000	68280000
chr2	68280000	68560000
chr2	68560000	69160000
chr2	69160000	69560000
chr2	69560000	69960000
chr2	69960000	70120000
chr2	70120000	70520000
chr2	70520000	70880000
chr2	70880000	71240000
chr2	71240000	71760000
chr2	71760000	72400000
chr2	72400000	73120000
chr2	73120000	73440000
chr2	73440000	73920000
chr2	73920000	74840000
chr2	74840000	75120000
chr2	75120000	75680000
chr2	75680000	75880000
chr2	75880000	76840000
chr2	76840000	78560000
chr2	78560000	79240000
chr2	79240000	80160000
chr2	80160000	82120000
chr2	82120000	83520000
chr2	83520000	84000000
chr2	84000000	84640000
chr2	84640000	85120000
chr2	85120000	85560000
chr2	85560000	85840000
chr2	85840000	86400000
chr2	86400000	86960000
chr2	86960000	87440000
chr2	87440000	87640000
chr2	87720000	88040000
chr2	88120000	88320000
chr2	88320000	89000000
chr2	89000000	89640000
chr2	89800000	89920000
chr2	89920000	90280000
chr2	90400000	92000000
chr2	92000000	92320000
chr2	95360000	96520000
chr2	96520000	96960000
chr2	96960000	97200000
chr2	97200000	97480000
chr2	97480000	97840000
chr2	97840000	99000000
chr2	99000000	99240000
chr2	99240000	99720000
chr2	99720000	100120000
chr2	100120000	101200000
chr2	101200000	101640000
chr2	101640000	101880000
chr2	101880000	102480000
chr2	102480000	103080000
chr2	103080000	103360000
chr2	103360000	104560000
chr2	104560000	105720000
chr2	105720000	105880000
chr2	105880000	106160000
chr2	106160000	106720000
chr2	106720000	107200000
chr2	107200000	108160000
chr2	108160000	108960000
chr2	108960000	109320000
chr2	109320000	110120000
chr2	110240000	110480000
chr2	111360000	112200000
chr2	112200000	112520000
chr2	112520000	113320000
chr2	113320000	113720000
chr2	113720000	114200000
chr2	114200000	114720000
chr2	114720000	115360000
chr2	115360000	117240000
chr2	117240000	118560000
chr2	118560000	119640000
chr2	119640000	120120000
chr2	120120000	120960000
chr2	120960000	121440000
chr2	121440000	121840000
chr2	121840000	122120000
chr2	122120000	122520000
chr2	122520000	124760000
chr2	124760000	125560000
chr2	125560000	126480000
chr2	126480000	127800000
chr2	127800000	128280000
chr2	128280000	128440000
chr2	128440000	130720000
chr2	130720000	131240000
chr2	131360000	131880000
chr2	131880000	132440000
chr2	132440000	132600000
chr2	132600000	132920000
chr2	132920000	133960000
chr2	133960000	134640000
chr2	134640000	135200000
chr2	135200000	135680000
chr2	135680000	136640000
chr2	136640000	137160000
chr2	137160000	138600000
chr2	138600000	139600000
chr2	139600000	141680000
chr2	141680000	142360000
chr2	142360000	142920000
chr2	142920000	143440000
chr2	143440000	143800000
chr2	143800000	145680000
chr2	145680000	146560000
chr2	146560000	147440000
chr2	147440000	148680000
chr2	148680000	149280000
chr2	149280000	149880000
chr2	149880000	150440000
chr2	150440000	151480000
chr2	151480000	152320000
chr2	152320000	152880000
chr2	152880000	153600000
chr2	153600000	154400000
chr2	154400000	155280000
chr2	155280000	156200000
chr2	156200000	157200000
chr2	157200000	158160000
chr2	158160000	158880000
chr2	158880000	159720000
chr2	159720000	160040000
chr2	160040000	160840000
chr2	160840000	162080000
chr2	162080000	163000000
chr2	163000000	163200000
chr2	163200000	163720000
chr2	163720000	164000000
chr2	164000000	165480000
chr2	165480000	165840000
chr2	165840000	166160000
chr2	166160000	166800000
chr2	166800000	167320000
chr2	167320000	169000000
chr2	169000000	169800000
chr2	169800000	170000000
chr2	170000000	170280000
chr2	170280000	170760000
chr2	170760000	171760000
chr2	171760000	172400000
chr2	172400000	173000000
chr2	173000000	173440000
chr2	173440000	173600000
chr2	173600000	174240000
chr2	174240000	175320000
chr2	175320000	175880000
chr2	175880000	176960000
chr2	176960000	177520000
chr2	177520000	178000000
chr2	178000000	178640000
chr2	178840000	179320000
chr2	179320000	180000000
chr2	180000000	180240000
chr2	180240000	180960000
chr2	180960000	181960000
chr2	181960000	182600000
chr2	182600000	183000000
chr2	183000000	183600000
chr2	183600000	183920000
chr2	183920000	185320000
chr2	185320000	186680000
chr2	186680000	187360000
chr2	187360000	187560000
chr2	187560000	188320000
chr2	188320000	189400000
chr2	189400000	189960000
chr2	189960000	190320000
chr2	190320000	190520000
chr2	190520000	191160000
chr2	191160000	191880000
chr2	191880000	192400000
chr2	192400000	193040000
chr2	193040000	193600000
chr2	193600000	194520000
chr2	194520000	194840000
chr2	194840000	195760000
chr2	195760000	196200000
chr2	196200000	196920000
chr2	196920000	197200000
chr2	197200000	197360000
chr2	197360000	197640000
chr2	197640000	198280000
chr2	198280000	198640000
chr2	198640000	199160000
chr2	199160000	200800000
chr2	200800000	201360000
chr2	201360000	201720000
chr2	201720000	202040000
chr2	202040000	202600000
chr2	202600000	203120000
chr2	203120000	203400000
chr2	203400000	204080000
chr2	204080000	204320000
chr2	204320000	204760000
chr2	204760000	205560000
chr2	205560000	206880000
chr2	206880000	208400000
chr2	208400000	208600000
chr2	208600000	208960000
chr2	208960000	209200000
chr2	209200000	210200000
chr2	210200000	210440000
chr2	210440000	210840000
chr2	210840000	211080000
chr2	211080000	211280000
chr2	211280000	211920000
chr2	211920000	212560000
chr2	212560000	213440000
chr2	213440000	214080000
chr2	214080000	215800000
chr2	215800000	216200000
chr2	216200000	216960000
chr2	216960000	217360000
chr2	217360000	217560000
chr2	217560000	218640000
chr2	218640000	219040000
chr2	219040000	219280000
chr2	219280000	219520000
chr2	219520000	219720000
chr2	219720000	220040000
chr2	220040000	220240000
chr2	220240000	220400000
chr2	220400000	222880000
chr2	222880000	223160000
chr2	223160000	223520000
chr2	223520000	223800000
chr2	223800000	224800000
chr2	224800000	225160000
chr2	225160000	225560000
chr2	225560000	225880000
chr2	225880000	226520000
chr2	226520000	228000000
chr2	228000000	228200000
chr2	228200000	229560000
chr2	229560000	229960000
chr2	229960000	230640000
chr2	230640000	231680000
chr2	231680000	231920000
chr2	231920000	232320000
chr2	232320000	233400000
chr2	233400000	234200000
chr2	234200000	234760000
chr2	234760000	235440000
chr2	235440000	236040000
chr2	236040000	236680000
chr2	236680000	237120000
chr2	237120000	238000000
chr2	238000000	238520000
chr2	238520000	238680000
chr2	238680000	239160000
chr2	239160000	239720000
chr2	239720000	239920000
chr2	239920000	240960000
chr2	240960000	241400000
chr2	241400000	241760000
chr2	241760000	242160000
chr2	242160000	242840000
chr2	242840000	243199373
chr3	80000	3200000
chr3	3200000	4360000
chr3	4360000	4680000
chr3	4680000	5240000
chr3	5240000	8480000
chr3	8480000	8680000
chr3	8680000	9000000
chr3	9000000	9360000
chr3	9360000	9760000
chr3	9760000	10000000
chr3	10000000	10360000
chr3	10360000	10760000
chr3	10760000	11120000
chr3	11120000	11400000
chr3	11400000	11920000
chr3	11920000	12120000
chr3	12120000	12600000
chr3	12600000	12880000
chr3	12880000	13520000
chr3	13520000	13720000
chr3	13720000	13920000
chr3	13920000	14240000
chr3	14240000	14560000
chr3	14560000	14960000
chr3	14960000	15120000
chr3	15120000	15640000
chr3	15640000	16320000
chr3	16320000	16600000
chr3	16600000	17280000
chr3	17280000	17880000
chr3	17880000	18480000
chr3	18480000	19920000
chr3	19920000	20240000
chr3	20240000	22160000
chr3	22160000	23000000
chr3	23000000	23920000
chr3	23920000	24760000
chr3	24760000	25680000
chr3	25680000	27160000
chr3	27160000	27320000
chr3	27320000	27720000
chr3	27720000	28400000
chr3	28400000	30040000
chr3	30040000	30800000
chr3	30800000	31200000
chr3	31200000	31560000
chr3	31560000	32040000
chr3	32040000	32200000
chr3	32200000	32520000
chr3	32520000	32720000
chr3	32720000	33160000
chr3	33160000	33440000
chr3	33440000	33880000
chr3	33880000	36000000
chr3	36000000	36760000
chr3	36760000	37000000
chr3	37000000	37320000
chr3	37320000	37880000
chr3	37880000	38040000
chr3	38040000	38360000
chr3	38360000	38560000
chr3	38560000	39080000
chr3	39080000	39440000
chr3	39440000	40360000
chr3	40360000	41280000
chr3	41280000	41920000
chr3	41920000	42240000
chr3	42240000	42600000
chr3	42600000	42960000
chr3	42960000	43560000
chr3	43560000	44320000
chr3	44320000	45040000
chr3	45040000	45560000
chr3	45560000	45760000
chr3	45760000	46520000
chr3	46520000	46720000
chr3	46720000	46960000
chr3	46960000	47440000
chr3	47440000	47840000
chr3	47840000	48200000
chr3	48200000	48720000
chr3	48720000	49040000
chr3	49040000	49560000
chr3	49560000	49720000
chr3	49720000	50160000
chr3	50160000	50360000
chr3	50360000	51440000
chr3	51440000	51960000
chr3	51960000	52240000
chr3	52240000	52440000
chr3	52440000	52760000
chr3	52760000	53120000
chr3	53120000	53920000
chr3	53920000	54840000
chr3	54840000	55480000
chr3	55480000	56600000
chr3	56600000	57040000
chr3	57040000	57560000
chr3	57560000	57920000
chr3	57920000	58160000
chr3	58160000	59560000
chr3	59560000	59880000
chr3	59880000	61400000
chr3	61400000	62200000
chr3	62200000	62560000
chr3	62560000	63320000
chr3	63320000	63840000
chr3	63840000	64480000
chr3	64480000	65320000
chr3	65320000	65760000
chr3	65760000	66200000
chr3	66200000	66920000
chr3	66920000	69040000
chr3	69040000	69720000
chr3	69720000	70040000
chr3	70040000	70560000
chr3	70560000	71000000
chr3	71000000	71760000
chr3	71760000	72920000
chr3	72920000	73160000
chr3	73160000	73520000
chr3	73520000	73920000
chr3	73920000	75280000
chr3	75280000	75720000
chr3	75720000	76680000
chr3	76680000	77320000
chr3	77320000	78720000
chr3	78720000	79120000
chr3	79120000	79560000
chr3	79560000	81400000
chr3	81400000	82200000
chr3	82200000	83600000
chr3	83600000	85000000
chr3	85000000	85680000
chr3	85680000	86680000
chr3	86680000	87240000
chr3	87240000	88240000
chr3	88240000	89160000
chr3	89160000	90480000
chr3	93560000	95520000
chr3	95520000	96000000
chr3	96000000	96560000
chr3	96560000	97480000
chr3	97480000	97760000
chr3	97760000	98080000
chr3	98080000	98320000
chr3	98320000	98520000
chr3	98520000	99520000
chr3	99520000	100000000
chr3	100000000	101400000
chr3	101400000	101960000
chr3	101960000	102280000
chr3	102280000	103000000
chr3	103000000	103960000
chr3	103960000	104240000
chr3	104240000	105240000
chr3	105240000	105960000
chr3	105960000	106360000
chr3	106360000	106920000
chr3	106920000	107280000
chr3	107280000	108320000
chr3	108320000	108720000
chr3	108720000	110000000
chr3	110000000	111280000
chr3	111280000	111800000
chr3	111800000	112280000
chr3	112280000	112720000
chr3	112720000	113480000
chr3	113480000	115560000
chr3	115560000	116480000
chr3	116480000	117720000
chr3	117720000	118600000
chr3	118600000	118840000
chr3	118840000	119440000
chr3	119440000	119920000
chr3	119920000	120280000
chr3	120280000	120520000
chr3	120520000	121240000
chr3	121240000	122080000
chr3	122080000	123000000
chr3	123000000	123280000
chr3	123280000	124040000
chr3	124040000	124280000
chr3	124280000	124440000
chr3	124440000	124640000
chr3	124640000	125320000
chr3	125320000	126200000
chr3	126200000	126720000
chr3	126720000	127280000
chr3	127280000	127760000
chr3	127760000	128360000
chr3	128360000	128680000
chr3	128680000	129040000
chr3	129040000	129840000
chr3	129840000	130640000
chr3	130640000	131960000
chr3	131960000	132160000
chr3	132160000	132400000
chr3	132400000	133160000
chr3	133160000	133360000
chr3	133360000	133920000
chr3	133920000	134240000
chr3	134240000	135760000
chr3	135760000	136480000
chr3	136480000	136760000
chr3	136760000	137880000
chr3	137880000	138680000
chr3	138680000	139080000
chr3	139080000	140640000
chr3	140640000	141000000
chr3	141000000	141720000
chr3	141720000	142280000
chr3	142280000	142520000
chr3	142520000	142760000
chr3	142760000	143480000
chr3	143480000	145760000
chr3	145760000	145920000
chr3	145920000	146360000
chr3	146360000	148080000
chr3	148080000	148680000
chr3	148680000	149000000
chr3	149000000	149560000
chr3	149560000	149920000
chr3	149920000	150240000
chr3	150240000	150880000
chr3	150880000	151640000
chr3	151640000	152200000
chr3	152200000	152720000
chr3	152720000	153760000
chr3	153760000	154000000
chr3	154000000	155080000
chr3	155080000	155640000
chr3	155640000	156240000
chr3	156240000	156880000
chr3	156880000	157240000
chr3	157240000	157800000
chr3	157800000	158360000
chr3	158360000	158960000
chr3	158960000	159760000
chr3	159760000	160240000
chr3	160240000	161160000
chr3	161160000	162760000
chr3	162760000	163680000
chr3	163680000	164920000
chr3	164920000	167080000
chr3	167080000	167640000
chr3	167640000	168600000
chr3	168600000	169480000
chr3	169480000	169760000
chr3	169760000	170600000
chr3	170600000	171320000
chr3	171320000	171560000
chr3	171560000	172200000
chr3	172200000	172480000
chr3	172480000	173680000
chr3	173680000	176200000
chr3	176200000	176400000
chr3	176400000	176680000
chr3	176680000	178120000
chr3	178120000	178720000
chr3	178720000	179080000
chr3	179080000	179320000
chr3	179320000	180360000
chr3	180360000	180920000
chr3	180920000	181400000
chr3	181400000	182000000
chr3	182000000	182440000
chr3	182440000	182600000
chr3	182600000	182800000
chr3	182800000	183120000
chr3	183120000	183560000
chr3	183560000	184080000
chr3	184080000	184280000
chr3	184280000	184520000
chr3	184520000	185040000
chr3	185040000	185360000
chr3	185360000	185640000
chr3	185640000	186280000
chr3	186280000	186560000
chr3	186560000	186920000
chr3	186920000	187440000
chr3	187440000	188960000
chr3	188960000	189680000
chr3	189680000	189920000
chr3	189920000	190160000
chr3	190160000	190400000
chr3	190400000	190800000
chr3	190800000	192200000
chr3	192200000	192520000
chr3	192520000	193320000
chr3	193320000	194160000
chr3	194160000	194360000
chr3	194360000	195000000
chr3	195000000	195360000
chr3	195360000	195720000
chr3	195720000	195960000
chr3	195960000	196240000
chr3	196240000	196720000
chr3	196720000	198022430
chr4	0	480000
chr4	480000	1000000
chr4	1000000	1360000
chr4	1360000	1720000
chr4	1720000	2480000
chr4	2480000	2760000
chr4	2760000	3000000
chr4	3000000	3520000
chr4	3520000	3960000
chr4	3960000	4240000
chr4	4240000	4880000
chr4	4880000	5400000
chr4	5400000	6240000
chr4	6240000	6640000
chr4	6640000	7080000
chr4	7080000	7800000
chr4	7800000	8160000
chr4	8160000	8440000
chr4	8440000	8600000
chr4	8600000	8920000
chr4	8920000	9160000
chr4	9160000	9680000
chr4	9680000	10120000
chr4	10120000	10440000
chr4	10440000	11760000
chr4	11760000	12720000
chr4	12720000	13600000
chr4	13600000	14720000
chr4	14720000	15240000
chr4	15240000	15480000
chr4	15480000	15720000
chr4	15720000	16000000
chr4	16000000	16280000
chr4	16280000	17520000
chr4	17520000	18640000
chr4	18640000	20440000
chr4	20440000	20720000
chr4	20720000	21480000
chr4	21480000	21760000
chr4	21760000	22400000
chr4	22400000	22840000
chr4	22840000	23720000
chr4	23720000	24480000
chr4	24480000	25400000
chr4	25400000	25880000
chr4	25880000	26440000
chr4	26440000	27040000
chr4	27040000	29960000
chr4	29960000	30680000
chr4	30680000	31720000
chr4	31720000	32400000
chr4	32400000	34760000
chr4	34760000	35960000
chr4	35960000	36200000
chr4	36200000	37600000
chr4	37600000	37800000
chr4	37800000	38040000
chr4	38040000	38760000
chr4	38760000	39200000
chr4	39200000	39440000
chr4	39440000	39640000
chr4	39640000	40000000
chr4	40000000	40320000
chr4	40320000	40920000
chr4	40920000	41240000
chr4	41240000	41680000
chr4	41680000	41960000
chr4	41960000	42560000
chr4	42560000	42920000
chr4	42920000	43760000
chr4	43760000	44720000
chr4	44720000	46320000
chr4	46320000	46920000
chr4	46920000	47120000
chr4	47120000	47440000
chr4	47440000	47640000
chr4	47640000	48280000
chr4	48280000	48560000
chr4	48560000	49320000
chr4	49480000	49640000
chr4	52720000	53880000
chr4	53880000	54760000
chr4	54760000	55160000
chr4	55160000	55840000
chr4	55840000	56200000
chr4	56200000	56760000
chr4	56760000	57240000
chr4	57240000	57840000
chr4	57840000	60080000
chr4	60080000	61080000
chr4	61080000	61640000
chr4	61640000	62520000
chr4	62520000	63600000
chr4	63600000	65480000
